,WKN,Basiswert,Untere Barriere,Obere Barriere,Bewertungstag,Geld Kurs,Brief Kurs,Spread,Merkmale,Ausübungsart,Emittent,Info
103,SV6GL0,S&P 500,"4.000,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,710 EUR","9,810 EUR","1,02 %",,Europäisch,Société Générale,
104,SV6JUU,EURO STOXX 50,"3.400,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,700 EUR","9,800 EUR","1,02 %",,Europäisch,Société Générale,
105,SV433U,S&P 500,"3.200,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,680 EUR","9,780 EUR","1,02 %",,Europäisch,Société Générale,
106,SV6GLZ,S&P 500,"4.000,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,720 EUR","9,820 EUR","1,02 %",,Europäisch,Société Générale,
107,SV6LMZ,S&P 500,"3.200,00 Pkt.","5.600,00 Pkt.",15.12.2023,"9,680 EUR","9,780 EUR","1,02 %",,Europäisch,Société Générale,
108,SV1YNP,EURO STOXX 50,"3.600,00 Pkt.","4.600,00 Pkt.",15.09.2023,"9,600 EUR","9,700 EUR","1,03 %",,Europäisch,Société Générale,
109,SV1YNW,EURO STOXX 50,"3.800,00 Pkt.","5.200,00 Pkt.",15.09.2023,"9,620 EUR","9,720 EUR","1,03 %",,Europäisch,Société Générale,
110,SV1W3Z,EURO STOXX 50,"3.200,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,620 EUR","9,720 EUR","1,03 %",,Europäisch,Société Générale,
111,,,,,,,,,,,,
112,SV287V,EURO STOXX 50,"3.800,00 Pkt.","5.400,00 Pkt.",15.09.2023,"9,620 EUR","9,720 EUR","1,03 %",,Europäisch,Société Générale,
113,SV48LG,EURO STOXX 50,"3.200,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,620 EUR","9,720 EUR","1,03 %",,Europäisch,Société Générale,
114,SV1W3Y,EURO STOXX 50,"3.200,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,600 EUR","9,700 EUR","1,03 %",,Europäisch,Société Générale,
115,SV1YNV,EURO STOXX 50,"3.800,00 Pkt.","5.000,00 Pkt.",15.09.2023,"9,620 EUR","9,720 EUR","1,03 %",,Europäisch,Société Générale,
116,SV1W2T,S&P 500,"3.400,00 Pkt.","5.200,00 Pkt.",15.12.2023,"9,580 EUR","9,680 EUR","1,03 %",,Europäisch,Société Générale,
117,SV1W2S,S&P 500,"3.400,00 Pkt.","5.000,00 Pkt.",15.12.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
118,SV1YNU,EURO STOXX 50,"3.800,00 Pkt.","4.800,00 Pkt.",15.09.2023,"9,630 EUR","9,730 EUR","1,03 %",,Europäisch,Société Générale,
119,SW1427,S&P 500,"3.000,00 Pkt.","5.400,00 Pkt.",15.03.2024,"9,600 EUR","9,700 EUR","1,03 %",,Europäisch,Société Générale,
120,SV433W,S&P 500,"3.400,00 Pkt.","5.400,00 Pkt.",15.12.2023,"9,580 EUR","9,680 EUR","1,03 %",,Europäisch,Société Générale,
121,SV9A4P,EURO STOXX 50,"3.400,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
122,SV9HHL,S&P 500,"3.600,00 Pkt.","5.000,00 Pkt.",17.11.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
123,SV6LM0,S&P 500,"3.400,00 Pkt.","5.600,00 Pkt.",15.12.2023,"9,580 EUR","9,680 EUR","1,03 %",,Europäisch,Société Générale,
124,SV9HHN,S&P 500,"3.600,00 Pkt.","5.400,00 Pkt.",17.11.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
125,SV9HMS,EURO STOXX 50,"3.400,00 Pkt.","5.200,00 Pkt.",17.11.2023,"9,580 EUR","9,680 EUR","1,03 %",,Europäisch,Société Générale,
126,SV6GMN,S&P 500,"3.800,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
127,SV69CL,S&P 500,"3.800,00 Pkt.","5.400,00 Pkt.",20.10.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
128,SV9HHP,S&P 500,"3.600,00 Pkt.","5.600,00 Pkt.",17.11.2023,"9,560 EUR","9,660 EUR","1,04 %",,Europäisch,Société Générale,
129,SV9HHM,S&P 500,"3.600,00 Pkt.","5.200,00 Pkt.",17.11.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
130,SV6GMM,S&P 500,"3.800,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,570 EUR","9,670 EUR","1,03 %",,Europäisch,Société Générale,
131,SV6GML,S&P 500,"3.800,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,510 EUR","9,610 EUR","1,04 %",,Europäisch,Société Générale,
132,SV9A4L,EURO STOXX 50,"3.200,00 Pkt.","4.800,00 Pkt.",17.11.2023,"9,470 EUR","9,570 EUR","1,04 %",,Europäisch,Société Générale,
133,SV6GH9,EURO STOXX 50,"3.600,00 Pkt.","4.800,00 Pkt.",20.10.2023,"9,480 EUR","9,580 EUR","1,04 %",,Europäisch,Société Générale,
134,SW14ZR,EURO STOXX 50,"3.000,00 Pkt.","5.400,00 Pkt.",15.03.2024,"9,490 EUR","9,590 EUR","1,04 %",,Europäisch,Société Générale,
135,SV6GJA,EURO STOXX 50,"3.600,00 Pkt.","5.000,00 Pkt.",20.10.2023,"9,490 EUR","9,590 EUR","1,04 %",,Europäisch,Société Générale,
136,SV6GJB,EURO STOXX 50,"3.600,00 Pkt.","5.200,00 Pkt.",20.10.2023,"9,490 EUR","9,590 EUR","1,04 %",,Europäisch,Société Générale,
